aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,dt
4,627.52,0.01,32.56,51.5,33.85,39.23,45.34,9.63,1609372800
4,507.36,0,26.39,58.65,30.28,35.06,39.89,8.36,1609369200
4,487.33,0,23.99,62.23,28.37,33.88,38.21,8.11,1609365600
4,500.68,0,23.65,62.23,28.13,33.06,37.27,8.36,1609362000
4,520.71,0,24.33,61.51,28.37,32.21,36.4,8.61,1609358400
4,547.41,0,25.36,58.65,28.85,31.62,35.84,8.74,1609354800
4,594.14,0,26.39,56.51,29.09,31.44,35.83,8.74,1609351200
4,654.22,0,28.1,55.08,29.8,32.16,36.95,8.99,1609347600
4,720.98,0,29.13,55.08,30.99,33.83,39.2,9.75,1609344000
4,747.68,0,29.47,54.36,31.47,34.07,39.61,10.01,1609340400
4,781.06,0,31.53,50.78,32.42,33.65,39.13,9.88,1609336800
4,841.14,0.01,35.3,44.7,33.85,33.43,38.86,9.88,1609333200
4,894.55,0.03,39.76,37.19,34.81,31.4,36.36,9.25,1609329600
4,894.55,0.06,42.16,31.83,34.33,28.11,32.37,7.98,1609326000
4,841.14,0.18,40.78,31.11,33.38,26.15,30,7.03,1609322400
4,801.09,0.45,40.1,30.76,33.38,26.01,29.71,6.33,1609318800
4,794.41,0.86,39.76,30.04,32.9,26.34,29.87,5.7,1609315200
4,794.41,1.29,39.76,29.33,31.47,26.89,30.19,5.07,1609311600
4,821.11,1.76,41.47,26.46,31.95,28.83,32.07,4.81,1609308000
4,881.2,2.35,45.24,21.1,33.85,33.32,36.7,4.81,1609304400
4,947.95,2.57,47.3,16.81,35.29,39.89,43.44,4.69,1609300800
4,1014.71,2.4,49.35,12.52,36.72,48.03,51.73,4.43,1609297200
5,1094.82,2.04,52.09,9.03,37.19,54.37,58.07,4.24,1609293600
5,1108.17,1.36,50.04,9.39,35.76,57.8,61.23,4.12,1609290000
5,1028.06,0.56,44.55,13.77,32.9,56.85,59.62,3.67,1609286400
5,961.3,0.22,38.73,18.42,29.56,54.77,56.9,3.17,1609282800
5,947.95,0.1,33.24,22.71,26.23,53.88,55.83,3.17,1609279200
5,934.6,0.05,27.42,27.18,22.89,51.16,53.08,3.52,1609275600
4,894.55,0.02,21.94,32.19,19.79,46.94,48.86,3.96,1609272000
4,854.49,0.01,17.82,35.41,17.17,42.15,44.13,4.56,1609268400
4,841.14,0.01,16.62,35.41,15.97,40.49,42.53,4.81,1609264800
4,834.47,0.02,17.65,33.26,15.5,42.76,45.09,4.94,1609261200
4,867.84,0.04,19.36,29.68,15.74,48.33,51.1,5.57,1609257600
5,921.25,0.17,24.68,20.39,19.31,50.05,53.36,7.66,1609254000
4,841.14,0.22,33.59,19.31,26.46,44.97,49.95,8.36,1609250400
5,1161.58,1.75,56.89,8.58,40.05,63.39,72.76,8.87,1609246800
5,1401.9,5.31,68.55,1.99,46.73,66.19,78.31,12.67,1609243200
5,1295.09,3.13,71.29,5.1,50.07,53.3,64.81,15.33,1609239600
4,988.01,0.98,60.32,21.46,44.82,38.63,49.25,13.55,1609236000
4,741.01,1.58,46.61,33.98,38.62,30.18,39.89,10.64,1609232400
4,640.87,1.47,40.1,36.84,35.29,26.34,34.92,8.74,1609228800
3,567.44,0.96,33.59,40.77,30.99,23.55,31.05,7.16,1609225200
3,554.09,1.1,30.85,41.84,28.85,22.17,29.03,6.33,1609221600
3,560.76,2.54,29.13,40.77,27.9,21.19,28.29,5.89,1609218000
3,640.87,5.36,31.19,31.83,29.09,22.7,30.65,5.64,1609214400
4,894.55,12.41,40.1,13.05,37.67,35,46.99,7.28,1609210800
4,1014.71,12.74,44.55,5.05,36.72,43.02,58.7,7.73,1609207200
4,1001.36,9.61,47.3,1.1,34.33,46.97,66.55,8.49,1609203600
4,821.11,4.19,45.24,2.55,30.52,43.61,64.24,8.49,1609200000
4,674.25,1.38,41.13,6.71,26.46,38.33,57.35,7.54,1609196400
4,640.87,0.79,38.39,9.3,24.08,37.25,55.7,7.22,1609192800
4,647.54,0.62,37.01,10.37,22.65,38.13,56.45,7.16,1609189200
4,680.92,0.59,38.04,10.55,22.89,40.95,59.46,7.16,1609185600
4,720.98,0.56,39.76,10.82,23.13,44.88,63.69,7.22,1609182000
4,774.38,0.53,41.13,11.36,23.6,49.03,68.27,7.28,1609178400
5,841.14,0.63,43.53,10.91,24.56,53.44,73.62,7.35,1609174800
5,907.9,0.82,46.61,9.84,26.7,57.06,77.67,7.85,1609171200
5,921.25,0.88,49.35,9.57,28.85,55.48,75.36,8.11,1609167600
4,907.9,0.87,50.72,9.74,30.28,48.56,65.63,8.74,1609164000
4,881.2,0.7,50.04,11.62,31.47,40.51,53.93,10.51,1609160400
4,834.47,0.24,48.67,20.03,33.38,36.54,47.08,11.78,1609156800
4,794.41,0.04,44.55,39.7,34.81,38.43,47.15,11.27,1609153200
4,734.33,1.27,34.96,67.95,33.85,40.29,47.09,9.12,1609149600
4,687.6,2.77,26.39,75.82,30.04,36.44,41.82,7.41,1609146000
4,680.92,3.47,26.05,64.37,29.09,32.62,38.01,6.71,1609142400
4,727.65,2.88,32.9,46.49,31.47,34.72,41.05,6.02,1609138800
4,821.11,1.2,45.24,26.82,34.81,44.84,53.09,5.95,1609135200
5,867.84,1.62,52.09,16.09,36.72,53.05,63.44,6.08,1609131600
5,947.95,2.99,58.26,8.14,39.1,61.35,74.16,7.09,1609128000
5,1295.09,16.54,57.58,0.78,46.73,78.43,94.68,10.39,1609124400
5,1441.96,21.46,54.84,0.25,44.35,80.62,95.24,10.77,1609120800
5,1401.9,20.79,52.09,0.06,41.96,79.29,91.46,10.89,1609117200
5,1108.17,12.18,50.04,0.21,37.19,69.73,79.1,9.88,1609113600
5,854.49,4.86,47.3,1.42,31.47,58.67,65.87,8.36,1609110000
5,794.41,2.91,44.55,2.82,28.61,54.24,60.52,7.66,1609106400
5,781.06,2.65,43.87,2.95,27.66,52.34,58.45,7.28,1609102800
5,794.41,2.65,43.87,2.86,27.42,51.97,58.78,7.41,1609099200
5,814.44,2.26,44.55,3.49,26.7,51.1,58.78,7.47,1609095600
4,834.47,1.65,43.53,5.1,24.8,49.28,58.3,7.41,1609092000
4,867.84,1.44,42.84,5.5,23.13,48.63,59.24,7.54,1609088400
5,934.6,1.87,43.18,4.69,24.8,50.38,62.48,8.36,1609084800
4,934.6,1.96,43.18,4.69,25.51,49.54,61.53,8.74,1609081200
4,934.6,2.6,43.87,3.67,26.46,48.55,59.24,8.49,1609077600
5,988.01,5.36,45.93,1.45,29.09,52.64,62.1,8.36,1609074000
5,1201.63,13.86,50.04,0.12,36.24,70.58,79.91,8.87,1609070400
5,1548.77,24.36,58.95,0,47.68,101.69,111.58,9.75,1609066800
5,1815.8,33.53,66.49,0,61.99,128.34,138.99,9.88,1609063200
5,1949.31,45.15,65.8,0.02,72.48,143.22,154.64,9.88,1609059600
5,2002.72,51.41,62.38,0.09,73.43,150.18,162.15,9.5,1609056000
5,2082.82,54.54,63.06,0.32,74.39,161.69,174.66,9.63,1609052400
5,2162.93,58.12,63.75,0.17,79.16,172.75,186.61,9.75,1609048800
5,2162.93,56.33,63.06,0.11,76.29,178.48,193,9.12,1609045200
5,2403.26,66.16,58.95,0.03,77.25,192.6,209.57,9.75,1609041600
5,3791.81,99.24,48.67,0,57.7,237.28,261.54,16.09,1609038000
5,4005.43,100.14,46.61,0,50.55,245.54,270.31,18.49,1609034400
5,3471.37,82.25,45.24,0,45.3,235.03,257.31,20.77,1609030800
5,2590.18,54.54,42.84,0,36.24,209.06,227.85,18.49,1609027200
5,2002.72,34.87,42.16,0,28.85,183.86,199.46,14.06,1609023600
5,1869.2,27.27,43.53,0,26.23,177.32,192.17,12.16,1609020000
5,1842.5,23.69,44.55,0,24.8,176.88,192.33,11.27,1609016400
5,1815.8,21.01,45.24,0,23.84,175.79,193.03,10.77,1609012800
5,1815.8,18.77,45.93,0,23.13,173.11,193.02,10.64,1609009200
5,1895.9,18.77,46.61,0,22.41,175.38,197.62,11.02,1609005600
5,2029.42,21.01,47.98,0,22.65,184.07,208.27,11.4,1609002000
5,2189.64,23.02,50.72,0,24.8,196.91,223.34,12.41,1608998400
5,2456.67,28.39,54.84,0,27.66,211.02,239.28,13.93,1608994800
5,2803.8,36.66,59.63,0,30.99,219.45,248.74,15.33,1608991200
5,3150.94,48.28,62.38,0,35.76,217.48,245.4,17.23,1608987600
5,3150.94,51.41,64.43,0,41.96,197.91,221.01,19.51,1608984000
5,2643.59,38.45,68.55,0.03,47.21,172.83,190.89,20.52,1608980400
5,1922.61,17.88,72.66,2.95,53.41,155.13,169.35,15.58,1608976800
5,1535.42,11.96,70.6,10.01,60.08,153.88,166.47,9.75,1608973200
5,1562.12,16.09,71.97,9.03,63.9,164.51,177.65,8.49,1608969600
5,1588.82,17.88,75.4,5.54,67.71,176.23,190.24,7.6,1608966000
5,1708.98,21.01,80.88,0.03,74.39,189.73,204.96,7.09,1608962400
5,1789.09,27.27,79.51,0.03,77.25,202.93,219.65,6.59,1608958800
5,2162.93,45.15,77.46,0.03,84.88,232.71,254.19,7.79,1608955200
5,5073.55,119.81,63.75,0.02,61.99,347.83,389.93,22.04,1608951600
5,5287.17,119.81,59.63,0.01,54.84,354.37,397.92,23.05,1608948000
5,4539.49,94.77,54.15,0,48.64,336.56,378.76,26.85,1608944400
5,3257.75,54.99,48.67,0,34.81,292.53,328.7,24.07,1608940800
5,2429.96,29.06,47.3,0,23.6,250.43,281.23,17.48,1608937200
5,2136.23,19.22,48.67,0,19.55,232.31,261.44,14.44,1608933600
5,2002.72,14.98,50.72,0.01,17.88,220.38,248.97,12.79,1608930000
5,1922.61,12.74,54.15,0.02,17.64,210.01,238.28,11.91,1608926400
5,1869.2,11.18,58.26,0.05,18.6,201.54,229.27,11.4,1608922800
5,1895.9,11.85,63.75,0.08,22.17,197.5,225.12,11.91,1608919200
5,1976.01,14.53,69.92,0.06,29.56,202.58,231.18,15.45,1608915600
5,2002.72,14.98,76.08,0.06,38.62,210.76,240.53,22.29,1608912000
5,2189.64,19.89,82.25,0.02,44.82,228.03,259.9,27.61,1608908400
5,2403.26,27.94,84.31,0,47.21,238.36,271.08,30.15,1608904800
5,2536.77,37.1,80.88,0,51.98,236.15,265.83,30.4,1608901200
5,2590.18,42.92,80.88,0,62.94,227.67,252.01,27.87,1608897600
5,2403.26,34.42,89.11,0.04,76.29,215.2,234.89,21.28,1608894000
5,1815.8,13.41,95.96,6.53,82.02,196.81,212.55,13.05,1608890400
5,1375.2,7.15,80.88,30.4,79.16,184.7,198.23,7.6,1608886800
5,1281.74,8.16,69.92,45.06,75.34,178.33,191.52,7.03,1608883200
5,1174.93,7.38,59.63,55.08,68.67,171.41,184.85,7.03,1608879600
5,1108.17,6.26,54.15,56.51,62.94,167.09,180.78,6.78,1608876000
5,1094.82,7.26,50.04,54.36,59.13,166.04,179.99,6.46,1608872400
5,1228.33,10.84,51.41,41.84,59.61,168.9,184.96,9.5,1608868800
5,2002.72,30.85,60.32,11.36,66.76,179.92,202.96,25.84,1608865200
5,2136.23,30.85,58.26,3.49,56.27,171.36,193.45,29.13,1608861600
5,1949.31,22.58,55.52,0.41,46.25,159.73,179.71,30.15,1608858000
5,1588.82,12.85,50.04,0.3,35.76,146.79,164.66,30.4,1608854400
5,1348.5,7.94,45.93,0.7,27.66,136.61,153.09,29.39,1608850800
5,1401.9,10.28,44.55,0.36,24.32,140.13,158.24,29.39,1608847200
5,1695.63,16.54,47.3,0.07,22.65,154.4,176.24,28.12,1608843600
5,2403.26,31.29,54.84,0.01,23.6,185.31,213.46,27.61,1608840000
5,4219.06,76.89,69.92,0,37.19,263.06,304.72,40.53,1608836400
5,8758.55,212.79,86.37,0,97.28,475.19,566.6,133.75,1608832800
5,9826.66,239.61,100.08,0,156.4,518.43,630.29,218.87,1608829200
5,10040.28,239.61,109.67,0,190.74,519.44,631.28,249.27,1608825600
5,10147.09,239.61,113.79,0,205.99,506.11,603.98,239.13,1608822000
5,9719.85,236.03,113.79,0,200.27,457.73,538.83,208.74,1608818400
5,9185.79,232.46,109.67,0,183.11,390.87,457.08,170.23,1608814800
5,9078.98,236.03,101.45,0,173.57,334.47,386.24,133.75,1608811200
5,7583.62,193.12,87.74,0.01,148.77,255.56,292.44,92.21,1608807600
5,3845.22,80.47,76.08,0.56,95.37,150.98,172.95,44.58,1608804000
5,1508.71,12.63,67.17,6.35,64.85,91.87,104.88,17.73,1608800400
5,1214.98,6.04,56.21,16.45,50.07,82.85,94.69,13.93,1608796800
5,1028.06,2.93,44.55,26.82,38.62,75.56,86.34,11.15,1608793200
5,961.3,2.24,40.78,28.61,35.76,75.46,86.12,9.88,1608789600
5,974.66,2.38,41.13,26.11,34.33,79.93,91.52,9.63,1608786000
5,1054.76,2.93,42.84,18.95,34.33,89.03,102.25,10.39,1608782400
5,1161.58,3.33,49.35,7.24,37.19,98.84,113.57,12.29,1608778800
5,1201.63,4.53,50.72,4.2,37.67,102.14,116.75,13.05,1608775200
5,1094.82,3.63,47.98,4.29,36.24,101.55,115.25,13.05,1608771600
5,881.2,1.9,41.47,6.8,33.85,96.72,108.56,12.67,1608768000
5,761.03,1.12,37.7,9.03,31.95,92.69,102.78,11.91,1608764400
5,761.03,1.41,38.39,7.15,31.47,91.87,101.61,12.16,1608760800
5,801.09,2.32,40.78,4.2,31.95,90.95,100.8,13.55,1608757200
5,854.49,3.21,42.5,2.79,30.99,89.14,99.45,14.69,1608753600
5,1054.76,7.04,46.61,1.03,31.95,95.52,108.38,17.23,1608750000
5,2349.85,36.21,55.52,0.01,30.99,149.8,172.92,25.33,1608746400
5,4646.3,91.2,66.49,0,38.62,254.02,292.78,35.97,1608742800
5,7263.18,155.57,76.08,0,51.98,381.64,439.05,50.66,1608739200
5,9826.66,227.09,80.2,0,66.76,491.88,561.88,66.88,1608735600
5,11108.4,264.65,82.25,0,85.83,512.22,578.51,80.05,1608732000
5,10787.96,261.07,83.63,0,101.09,461.53,518.04,87.14,1608728400
5,8972.17,212.79,81.57,0,92.51,367.03,410.98,74.98,1608724800
5,6301.88,135.9,80.2,0,78.2,272.8,304.18,54.21,1608721200
5,3204.35,45.6,82.25,2.24,71.53,201.91,221.89,28.63,1608717600
5,1335.14,5.7,67.17,28.25,71.53,172.43,186.5,8.36,1608714000
5,1295.09,6.31,61.69,35.41,69.62,180.6,195.63,6.33,1608710400
5,1295.09,6.04,58.95,36.48,66.76,183.4,199.02,5.19,1608706800
5,1468.66,11.06,65.12,29.68,71.53,192.62,209.88,6.52,1608703200
5,1789.09,21.23,74.71,20.92,76.29,201.32,220.43,9.37,1608699600
5,2590.18,46.05,78.83,10.28,82.97,225.94,250.15,16.97,1608696000
5,6088.26,130.53,69.92,1.83,66.76,350.73,396.07,51.17,1608692400
5,6462.1,134.11,74.71,0.79,63.9,382.08,430.23,60.29,1608688800
5,6355.29,125.17,81.57,0.15,62.94,409.7,461.6,72.96,1608685200
5,7476.81,157.36,75.4,0,74.39,504.65,576.58,113.49,1608681600
5,6355.29,126.96,80.88,0,82.02,452.72,517.2,135.78,1608678000
5,5714.42,110.87,82.25,0,82.97,414.23,473.58,135.78,1608674400
5,4966.74,90.3,78.14,0,71.53,363.96,417.25,110.45,1608670800
5,4219.06,67.06,76.08,0,53.41,311.08,356.91,79.04,1608667200
5,3631.59,46.49,79.51,0,41.49,263.72,302.57,54.72,1608663600
5,3364.56,36.66,83.63,0,41.96,238.28,273.4,45.09,1608660000
5,3471.37,37.55,86.37,0,46.25,235.97,271.1,44.58,1608656400
5,3685,42.92,89.11,0,52.45,243.87,279.46,46.61,1608652800
5,4325.87,59.9,90.48,0,55.79,263.54,302.39,53.7,1608649200
5,4753.11,71.53,98.71,0,59.13,264.86,304.18,56.74,1608645600
5,5393.98,90.3,111.04,0,68.67,266.96,304.89,58.77,1608642000
5,5821.23,101.92,120.64,0,85.83,246.16,279.43,54.72,1608638400
5,4966.74,76.89,117.9,0.04,95.37,196.93,222.99,46.61,1608634800
5,3044.13,27.05,109.67,12.52,89.65,141.1,159.72,32.93,1608631200
5,1789.09,12.52,77.46,49.35,75.34,108.32,122.29,20.77,1608627600
5,1361.85,8.72,56.89,67.23,59.13,92.53,104.65,15.45,1608624000
5,1001.36,4.25,40.78,81.54,44.82,77.82,87.99,10.77,1608620400
5,854.49,2.65,34.62,84.4,40.05,71.9,81.39,8.99,1608616800
5,847.82,2.74,33.59,79.39,38.15,71.25,80.87,8.99,1608613200
